date,decision,reason,spx_entry,vix_entry,expiry,dte,short_strike,long_strike,entry_credit,contracts,estimated_margin,exit_time,exit_price,exit_reason,pnl_per_contract,total_pnl,win_loss,runtime_sec
2017-04-05,SKIP,VIX below minimum (11.29 < 12),2369.28,11.29,,,,,,0,,,,,,,,0.621
2017-04-06,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-07,SKIP,no credit-qualified spread candidate,2358.02,12.54,,,,,,0,,,,,,,,12.314
2017-04-08,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-09,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-10,SKIP,no credit-qualified spread candidate,2362.32,13.04,,,,,,0,,,,,,,,12.017
2017-04-11,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-12,SKIP,no credit-qualified spread candidate,2349.81,15.95,,,,,,0,,,,,,,,10.012
2017-04-13,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-14,SKIP,missing SPX/VIX entry data,,,,,,,,0,,,,,,,,0.62
2017-04-15,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-16,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-17,SKIP,no credit-qualified spread candidate,2333.32,15.75,,,,,,0,,,,,,,,11.389
2017-04-18,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-19,SKIP,no entry quotes for candidates,2348.88,13.85,,,,,,0,,,,,,,,10.447
2017-04-20,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-21,SKIP,no option definitions for day,2355.92,14.16,,,,,,0,,,,,,,,8.824
2017-04-22,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-23,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-24,SKIP,VIX below minimum (11.89 < 12),2372.81,11.89,,,,,,0,,,,,,,,0.616
2017-04-25,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-26,SKIP,VIX below minimum (10.80 < 12),2388.99,10.8,,,,,,0,,,,,,,,0.614
2017-04-27,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-28,SKIP,VIX below minimum (10.52 < 12),2388.47,10.52,,,,,,0,,,,,,,,0.613
2017-04-29,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-30,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
